,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,33,17,16,23,7,3,73,23,50,76
1,2,Man City,31,15,16,24,3,4,81,23,58,75
3,3,Arsenal,32,15,17,20,6,6,69,42,27,66
2,4,Spurs,32,17,15,21,1,10,59,37,22,64
5,5,Chelsea,32,16,16,18,7,7,53,35,18,61
4,6,Man Utd,32,17,15,18,7,7,60,43,17,61
6,7,Wolves,33,16,17,13,8,12,45,43,2,47
8,8,West Ham,32,15,17,13,6,13,43,47,-4,45
9,9,Leicester,32,16,16,13,5,14,41,43,-2,44
7,10,Watford,32,17,15,12,7,13,44,48,-4,43
10,11,Everton,32,16,16,11,7,14,44,44,0,40
11,12,Bournemouth,32,16,16,11,5,16,43,57,-14,38
13,13,Crystal Palace,32,16,16,10,7,15,41,42,-1,37
14,14,Brighton,32,16,16,10,7,15,37,45,-8,37
15,15,Southampton,33,17,16,9,9,15,40,57,-17,36
12,16,Newcastle,32,16,16,9,8,15,31,42,-11,35
16,17,Burnley,32,16,16,9,6,17,38,61,-23,33
17,18,Cardiff,32,15,17,8,6,18,28,58,-30,30
18,19,Fulham,32,16,16,4,6,22,31,72,-41,18
19,20,Huddersfield,32,16,16,3,6,23,19,58,-39,15
