,Round Number,Date,Location,Home Team,Away Team,Result
267,27,24/02/2019 12:00,Stamford Bridge,Chelsea,Brighton,0 - 0
301,31,16/03/2019 15:00,Amex Stadium,Brighton,Cardiff,1 - 1
303,31,16/03/2019 15:00,Vicarage Road,Watford,Southampton,2 - 1
305,31,16/03/2019 15:00,Molineux Stadium,Wolves,Arsenal,2 - 1
308,32,30/03/2019 12:30,Craven Cottage,Fulham,Man City,0 - 0
309,32,30/03/2019 15:00,Amex Stadium,Brighton,Southampton,0 - 1
310,32,30/03/2019 15:00,Turf Moor,Burnley,Wolves,0 - 0
311,32,30/03/2019 15:00,Selhurst Park,Crystal Palace,Huddersfield,0 - 0
312,32,30/03/2019 15:00,King Power Stadium,Leicester,Bournemouth,2 - 0
313,32,30/03/2019 15:00,Old Trafford,Man Utd,Watford,1 - 0
314,32,30/03/2019 17:30,London Stadium,West Ham,Everton,3 - 2
315,32,31/03/2019 14:05,Cardiff City Stadium,Cardiff,Chelsea,0 - 2
316,32,31/03/2019 16:30,Anfield,Liverpool,Spurs,2 - 2
317,32,01/04/2019 20:00,Emirates Stadium,Arsenal,Newcastle,1 - 2
318,32,02/04/2019 19:45,Molineux Stadium,Wolves,Man Utd,1 - 2
319,32,02/04/2019 23:00,Tottenham Hotspur Stadium,Spurs,Crystal Palace,1 - 1
320,33,05/04/2019 20:00,St. Mary's Stadium,Southampton,Liverpool,1 - 1
321,33,06/04/2019 12:30,Etihad Stadium,Man City,Cardiff,0 - 0
322,33,06/04/2019 15:00,Vitality Stadium,Bournemouth,Burnley,0 - 1
323,33,06/04/2019 15:00,John Smith's Stadium,Huddersfield,Leicester,2 - 1
324,33,06/04/2019 15:00,St. James' Park,Newcastle,Crystal Palace,3 - 2
325,33,06/04/2019 15:00,Vicarage Road,Watford,Fulham,1 - 0
326,33,07/04/2019 14:05,Goodison Park,Everton,Arsenal,2 - 4
327,33,07/04/2019 16:30,Tottenham Hotspur Stadium,Spurs,Brighton,2 - 2
328,33,08/04/2019 20:00,Stamford Bridge,Chelsea,West Ham,0 - 0
329,34,12/04/2019 20:00,King Power Stadium,Leicester,Newcastle,1 - 0
330,34,13/04/2019 12:30,Tottenham Hotspur Stadium,Spurs,Huddersfield,2 - 1
331,34,13/04/2019 15:00,Amex Stadium,Brighton,Bournemouth,3 - 0
