,Round Number,Date,Location,Home Team,Away Team,Result
267,27,24/02/2019 12:00,Stamford Bridge,Chelsea,Brighton,3 - 2
301,31,16/03/2019 15:00,Amex Stadium,Brighton,Cardiff,2 - 0
303,31,16/03/2019 15:00,Vicarage Road,Watford,Southampton,2 - 0
305,31,16/03/2019 15:00,Molineux Stadium,Wolves,Arsenal,2 - 0
308,32,30/03/2019 12:30,Craven Cottage,Fulham,Man City,0 - 2
309,32,30/03/2019 15:00,Amex Stadium,Brighton,Southampton,0 - 1
310,32,30/03/2019 15:00,Turf Moor,Burnley,Wolves,1 - 1
311,32,30/03/2019 15:00,Selhurst Park,Crystal Palace,Huddersfield,1 - 0
312,32,30/03/2019 15:00,King Power Stadium,Leicester,Bournemouth,1 - 2
313,32,30/03/2019 15:00,Old Trafford,Man Utd,Watford,1 - 3
314,32,30/03/2019 17:30,London Stadium,West Ham,Everton,2 - 1
315,32,31/03/2019 14:05,Cardiff City Stadium,Cardiff,Chelsea,0 - 0
316,32,31/03/2019 16:30,Anfield,Liverpool,Spurs,5 - 0
317,32,01/04/2019 20:00,Emirates Stadium,Arsenal,Newcastle,3 - 1
318,32,02/04/2019 19:45,Molineux Stadium,Wolves,Man Utd,1 - 2
319,32,02/04/2019 23:00,Tottenham Hotspur Stadium,Spurs,Crystal Palace,3 - 0
320,33,05/04/2019 20:00,St. Mary's Stadium,Southampton,Liverpool,0 - 0
321,33,06/04/2019 12:30,Etihad Stadium,Man City,Cardiff,2 - 0
322,33,06/04/2019 15:00,Vitality Stadium,Bournemouth,Burnley,1 - 1
323,33,06/04/2019 15:00,John Smith's Stadium,Huddersfield,Leicester,1 - 0
324,33,06/04/2019 15:00,St. James' Park,Newcastle,Crystal Palace,1 - 3
325,33,06/04/2019 15:00,Vicarage Road,Watford,Fulham,0 - 1
326,33,07/04/2019 14:05,Goodison Park,Everton,Arsenal,3 - 2
327,33,07/04/2019 16:30,Tottenham Hotspur Stadium,Spurs,Brighton,2 - 0
328,33,08/04/2019 20:00,Stamford Bridge,Chelsea,West Ham,3 - 0
329,34,12/04/2019 20:00,King Power Stadium,Leicester,Newcastle,1 - 0
330,34,13/04/2019 12:30,Tottenham Hotspur Stadium,Spurs,Huddersfield,2 - 1
331,34,13/04/2019 15:00,Amex Stadium,Brighton,Bournemouth,2 - 1
332,34,13/04/2019 15:00,Turf Moor,Burnley,Cardiff,1 - 0
333,34,13/04/2019 15:00,Craven Cottage,Fulham,Everton,0 - 0
334,34,13/04/2019 15:00,St. Mary's Stadium,Southampton,Wolves,0 - 2
335,34,13/04/2019 17:30,Old Trafford,Man Utd,West Ham,2 - 0
336,34,14/04/2019 14:05,Selhurst Park,Crystal Palace,Man City,3 - 1
337,34,14/04/2019 16:30,Anfield,Liverpool,Chelsea,2 - 1
338,34,15/04/2019 20:00,Vicarage Road,Watford,Arsenal,1 - 1
339,35,20/04/2019 12:30,Etihad Stadium,Man City,Spurs,2 - 0
340,35,20/04/2019 15:00,Emirates Stadium,Arsenal,Crystal Palace,0 - 3
341,35,20/04/2019 15:00,Vitality Stadium,Bournemouth,Fulham,1 - 0
