,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,33,17,16,24,7,2,73,20,53,79
1,2,Man City,32,15,17,25,3,4,81,21,60,78
2,3,Spurs,32,17,15,21,1,10,59,35,24,64
4,4,Man Utd,32,17,15,19,7,6,63,42,21,64
5,5,Chelsea,32,16,16,19,6,7,58,34,24,63
3,6,Arsenal,32,15,17,18,6,8,63,42,21,60
6,7,Wolves,33,16,17,14,8,11,42,38,4,50
8,8,West Ham,32,15,17,13,6,13,43,47,-4,45
7,9,Watford,32,17,15,12,8,12,46,49,-3,44
9,10,Leicester,33,17,16,12,6,15,42,48,-6,42
12,11,Newcastle,33,16,17,11,8,14,34,41,-7,41
11,12,Bournemouth,33,16,17,12,5,16,47,58,-11,41
10,13,Everton,32,16,16,11,7,14,44,44,0,40
14,14,Brighton,32,16,16,10,6,16,35,49,-14,36
13,15,Crystal Palace,33,17,16,9,7,17,38,46,-8,34
15,16,Southampton,33,17,16,8,10,15,38,55,-17,34
16,17,Burnley,33,17,16,9,6,18,37,62,-25,33
17,18,Cardiff,33,16,17,9,4,20,30,62,-32,31
18,19,Fulham,32,16,16,4,6,22,29,70,-41,18
19,20,Huddersfield,33,16,17,3,7,23,21,60,-39,16
