,Round Number,Date,Location,Home Team,Away Team,Result
267,27,24/02/2019 12:00,Stamford Bridge,Chelsea,Brighton,1 - 1
301,31,16/03/2019 15:00,Amex Stadium,Brighton,Cardiff,2 - 1
303,31,16/03/2019 15:00,Vicarage Road,Watford,Southampton,3 - 1
305,31,16/03/2019 15:00,Molineux Stadium,Wolves,Arsenal,2 - 1
308,32,30/03/2019 12:30,Craven Cottage,Fulham,Man City,0 - 2
309,32,30/03/2019 15:00,Amex Stadium,Brighton,Southampton,3 - 2
310,32,30/03/2019 15:00,Turf Moor,Burnley,Wolves,1 - 1
311,32,30/03/2019 15:00,Selhurst Park,Crystal Palace,Huddersfield,0 - 1
312,32,30/03/2019 15:00,King Power Stadium,Leicester,Bournemouth,1 - 0
313,32,30/03/2019 15:00,Old Trafford,Man Utd,Watford,1 - 1
314,32,30/03/2019 17:30,London Stadium,West Ham,Everton,1 - 2
315,32,31/03/2019 14:05,Cardiff City Stadium,Cardiff,Chelsea,2 - 2
316,32,31/03/2019 16:30,Anfield,Liverpool,Spurs,4 - 2
317,32,01/04/2019 20:00,Emirates Stadium,Arsenal,Newcastle,0 - 0
318,32,02/04/2019 19:45,Molineux Stadium,Wolves,Man Utd,2 - 1
319,32,02/04/2019 23:00,Tottenham Hotspur Stadium,Spurs,Crystal Palace,2 - 2
320,33,05/04/2019 20:00,St. Mary's Stadium,Southampton,Liverpool,3 - 1
321,33,06/04/2019 12:30,Etihad Stadium,Man City,Cardiff,3 - 1
322,33,06/04/2019 15:00,Vitality Stadium,Bournemouth,Burnley,2 - 0
323,33,06/04/2019 15:00,John Smith's Stadium,Huddersfield,Leicester,3 - 1
324,33,06/04/2019 15:00,St. James' Park,Newcastle,Crystal Palace,0 - 1
325,33,06/04/2019 15:00,Vicarage Road,Watford,Fulham,1 - 0
326,33,07/04/2019 14:05,Goodison Park,Everton,Arsenal,2 - 1
327,33,07/04/2019 16:30,Tottenham Hotspur Stadium,Spurs,Brighton,2 - 0
