,Round Number,Date,Location,Home Team,Away Team,Result
267,27,24/02/2019 12:00,Stamford Bridge,Chelsea,Brighton,0 - 0
301,31,16/03/2019 15:00,Amex Stadium,Brighton,Cardiff,2 - 0
303,31,16/03/2019 15:00,Vicarage Road,Watford,Southampton,1 - 0
305,31,16/03/2019 15:00,Molineux Stadium,Wolves,Arsenal,0 - 0
308,32,30/03/2019 12:30,Craven Cottage,Fulham,Man City,0 - 0
309,32,30/03/2019 15:00,Amex Stadium,Brighton,Southampton,6 - 2
310,32,30/03/2019 15:00,Turf Moor,Burnley,Wolves,0 - 1
311,32,30/03/2019 15:00,Selhurst Park,Crystal Palace,Huddersfield,2 - 1
312,32,30/03/2019 15:00,King Power Stadium,Leicester,Bournemouth,3 - 1
313,32,30/03/2019 15:00,Old Trafford,Man Utd,Watford,0 - 0
314,32,30/03/2019 17:30,London Stadium,West Ham,Everton,1 - 2
315,32,31/03/2019 14:05,Cardiff City Stadium,Cardiff,Chelsea,0 - 0
316,32,31/03/2019 16:30,Anfield,Liverpool,Spurs,2 - 2
317,32,01/04/2019 20:00,Emirates Stadium,Arsenal,Newcastle,4 - 0
318,32,02/04/2019 19:45,Molineux Stadium,Wolves,Man Utd,1 - 5
319,32,02/04/2019 23:00,Tottenham Hotspur Stadium,Spurs,Crystal Palace,3 - 0
320,33,05/04/2019 20:00,St. Mary's Stadium,Southampton,Liverpool,0 - 2
321,33,06/04/2019 12:30,Etihad Stadium,Man City,Cardiff,6 - 0
322,33,06/04/2019 15:00,Vitality Stadium,Bournemouth,Burnley,1 - 1
323,33,06/04/2019 15:00,John Smith's Stadium,Huddersfield,Leicester,2 - 2
324,33,06/04/2019 15:00,St. James' Park,Newcastle,Crystal Palace,0 - 1
325,33,06/04/2019 15:00,Vicarage Road,Watford,Fulham,0 - 3
326,33,07/04/2019 14:05,Goodison Park,Everton,Arsenal,0 - 0
327,33,07/04/2019 16:30,Tottenham Hotspur Stadium,Spurs,Brighton,3 - 2
328,33,08/04/2019 20:00,Stamford Bridge,Chelsea,West Ham,3 - 0
329,34,12/04/2019 20:00,King Power Stadium,Leicester,Newcastle,2 - 0
330,34,13/04/2019 12:30,Tottenham Hotspur Stadium,Spurs,Huddersfield,4 - 0
331,34,13/04/2019 15:00,Amex Stadium,Brighton,Bournemouth,2 - 1
332,34,13/04/2019 15:00,Turf Moor,Burnley,Cardiff,3 - 1
333,34,13/04/2019 15:00,Craven Cottage,Fulham,Everton,1 - 4
334,34,13/04/2019 15:00,St. Mary's Stadium,Southampton,Wolves,1 - 1
335,34,13/04/2019 17:30,Old Trafford,Man Utd,West Ham,4 - 2
336,34,14/04/2019 14:05,Selhurst Park,Crystal Palace,Man City,0 - 0
337,34,14/04/2019 16:30,Anfield,Liverpool,Chelsea,0 - 1
338,34,15/04/2019 20:00,Vicarage Road,Watford,Arsenal,1 - 0
339,35,20/04/2019 12:30,Etihad Stadium,Man City,Spurs,2 - 0
340,35,20/04/2019 15:00,Emirates Stadium,Arsenal,Crystal Palace,4 - 1
341,35,20/04/2019 15:00,Vitality Stadium,Bournemouth,Fulham,0 - 0
342,35,20/04/2019 15:00,John Smith's Stadium,Huddersfield,Watford,0 - 1
343,35,20/04/2019 15:00,London Stadium,West Ham,Leicester,2 - 3
344,35,20/04/2019 15:00,Molineux Stadium,Wolves,Brighton,3 - 0
345,35,20/04/2019 17:30,St. James' Park,Newcastle,Southampton,0 - 1
346,35,21/04/2019 13:30,Goodison Park,Everton,Man Utd,2 - 3
347,35,21/04/2019 16:00,Cardiff City Stadium,Cardiff,Liverpool,0 - 2
348,35,22/04/2019 20:00,Stamford Bridge,Chelsea,Burnley,3 - 1
349,35,24/04/2019 20:00,Old Trafford,Man Utd,Man City,3 - 1
350,36,26/04/2019 20:00,Anfield,Liverpool,Huddersfield,1 - 0
351,36,27/04/2019 12:30,Tottenham Hotspur Stadium,Spurs,West Ham,0 - 1
352,36,27/04/2019 15:00,Selhurst Park,Crystal Palace,Everton,1 - 1
353,36,27/04/2019 15:00,Craven Cottage,Fulham,Cardiff,1 - 1
354,36,27/04/2019 15:00,St. Mary's Stadium,Southampton,Bournemouth,0 - 1
355,36,27/04/2019 15:00,Vicarage Road,Watford,Wolves,2 - 0
356,36,27/04/2019 17:30,Amex Stadium,Brighton,Newcastle,0 - 1
357,36,28/04/2019 14:05,Turf Moor,Burnley,Man City,0 - 3
358,36,28/04/2019 16:30,Old Trafford,Man Utd,Chelsea,1 - 2
359,36,29/04/2019 20:00,King Power Stadium,Leicester,Arsenal,1 - 0
360,37,04/05/2019 15:00,Emirates Stadium,Arsenal,Brighton,2 - 1
361,37,04/05/2019 15:00,Vitality Stadium,Bournemouth,Spurs,1 - 1
362,37,04/05/2019 15:00,Cardiff City Stadium,Cardiff,Crystal Palace,4 - 2
363,37,04/05/2019 15:00,Stamford Bridge,Chelsea,Watford,1 - 1
364,37,04/05/2019 15:00,Goodison Park,Everton,Burnley,0 - 1
365,37,04/05/2019 15:00,John Smith's Stadium,Huddersfield,Man Utd,0 - 1
366,37,04/05/2019 15:00,Etihad Stadium,Man City,Leicester,1 - 2
367,37,04/05/2019 15:00,St. James' Park,Newcastle,Liverpool,0 - 1
368,37,04/05/2019 15:00,London Stadium,West Ham,Southampton,1 - 0
369,37,04/05/2019 15:00,Molineux Stadium,Wolves,Fulham,0 - 1
370,38,12/05/2019 15:00,Amex Stadium,Brighton,Man City,0 - 0
371,38,12/05/2019 15:00,Turf Moor,Burnley,Arsenal,0 - 1
372,38,12/05/2019 15:00,Selhurst Park,Crystal Palace,Bournemouth,2 - 1
373,38,12/05/2019 15:00,Craven Cottage,Fulham,Newcastle,1 - 3
374,38,12/05/2019 15:00,King Power Stadium,Leicester,Chelsea,1 - 3
375,38,12/05/2019 15:00,Anfield,Liverpool,Wolves,5 - 1
376,38,12/05/2019 15:00,Old Trafford,Man Utd,Cardiff,2 - 0
377,38,12/05/2019 15:00,St. Mary's Stadium,Southampton,Huddersfield,2 - 0
378,38,12/05/2019 15:00,Tottenham Hotspur Stadium,Spurs,Everton,0 - 1
379,38,12/05/2019 15:00,Vicarage Road,Watford,West Ham,4 - 1
