,Round Number,Date,Location,Home Team,Away Team,Result
267,27,24/02/2019 12:00,Stamford Bridge,Chelsea,Brighton,1 - 0
301,31,16/03/2019 15:00,Amex Stadium,Brighton,Cardiff,2 - 1
303,31,16/03/2019 15:00,Vicarage Road,Watford,Southampton,0 - 1
305,31,16/03/2019 15:00,Molineux Stadium,Wolves,Arsenal,0 - 0
308,32,30/03/2019 12:30,Craven Cottage,Fulham,Man City,3 - 3
309,32,30/03/2019 15:00,Amex Stadium,Brighton,Southampton,3 - 1
310,32,30/03/2019 15:00,Turf Moor,Burnley,Wolves,3 - 3
311,32,30/03/2019 15:00,Selhurst Park,Crystal Palace,Huddersfield,1 - 0
312,32,30/03/2019 15:00,King Power Stadium,Leicester,Bournemouth,1 - 2
313,32,30/03/2019 15:00,Old Trafford,Man Utd,Watford,6 - 2
314,32,30/03/2019 17:30,London Stadium,West Ham,Everton,1 - 0
315,32,31/03/2019 14:05,Cardiff City Stadium,Cardiff,Chelsea,1 - 1
316,32,31/03/2019 16:30,Anfield,Liverpool,Spurs,3 - 1
317,32,01/04/2019 20:00,Emirates Stadium,Arsenal,Newcastle,1 - 1
318,32,02/04/2019 19:45,Molineux Stadium,Wolves,Man Utd,1 - 3
319,32,02/04/2019 23:00,Tottenham Hotspur Stadium,Spurs,Crystal Palace,3 - 0
320,33,05/04/2019 20:00,St. Mary's Stadium,Southampton,Liverpool,0 - 0
321,33,06/04/2019 12:30,Etihad Stadium,Man City,Cardiff,6 - 0
322,33,06/04/2019 15:00,Vitality Stadium,Bournemouth,Burnley,2 - 1
323,33,06/04/2019 15:00,John Smith's Stadium,Huddersfield,Leicester,3 - 1
324,33,06/04/2019 15:00,St. James' Park,Newcastle,Crystal Palace,2 - 2
325,33,06/04/2019 15:00,Vicarage Road,Watford,Fulham,3 - 2
326,33,07/04/2019 14:05,Goodison Park,Everton,Arsenal,1 - 1
327,33,07/04/2019 16:30,Tottenham Hotspur Stadium,Spurs,Brighton,3 - 0
328,33,08/04/2019 20:00,Stamford Bridge,Chelsea,West Ham,0 - 0
329,34,12/04/2019 20:00,King Power Stadium,Leicester,Newcastle,1 - 1
330,34,13/04/2019 12:30,Tottenham Hotspur Stadium,Spurs,Huddersfield,0 - 2
331,34,13/04/2019 15:00,Amex Stadium,Brighton,Bournemouth,3 - 1
332,34,13/04/2019 15:00,Turf Moor,Burnley,Cardiff,0 - 1
333,34,13/04/2019 15:00,Craven Cottage,Fulham,Everton,1 - 0
334,34,13/04/2019 15:00,St. Mary's Stadium,Southampton,Wolves,2 - 1
335,34,13/04/2019 17:30,Old Trafford,Man Utd,West Ham,1 - 1
336,34,14/04/2019 14:05,Selhurst Park,Crystal Palace,Man City,0 - 1
337,34,14/04/2019 16:30,Anfield,Liverpool,Chelsea,2 - 1
338,34,15/04/2019 20:00,Vicarage Road,Watford,Arsenal,1 - 1
339,35,20/04/2019 12:30,Etihad Stadium,Man City,Spurs,1 - 3
340,35,20/04/2019 15:00,Emirates Stadium,Arsenal,Crystal Palace,2 - 2
341,35,20/04/2019 15:00,Vitality Stadium,Bournemouth,Fulham,1 - 0
342,35,20/04/2019 15:00,John Smith's Stadium,Huddersfield,Watford,2 - 0
343,35,20/04/2019 15:00,London Stadium,West Ham,Leicester,2 - 1
344,35,20/04/2019 15:00,Molineux Stadium,Wolves,Brighton,1 - 2
345,35,20/04/2019 17:30,St. James' Park,Newcastle,Southampton,2 - 1
346,35,21/04/2019 13:30,Goodison Park,Everton,Man Utd,2 - 2
347,35,21/04/2019 16:00,Cardiff City Stadium,Cardiff,Liverpool,0 - 3
348,35,22/04/2019 20:00,Stamford Bridge,Chelsea,Burnley,1 - 0
349,35,24/04/2019 20:00,Old Trafford,Man Utd,Man City,0 - 2
350,36,26/04/2019 20:00,Anfield,Liverpool,Huddersfield,1 - 1
351,36,27/04/2019 12:30,Tottenham Hotspur Stadium,Spurs,West Ham,2 - 0
352,36,27/04/2019 15:00,Selhurst Park,Crystal Palace,Everton,0 - 1
353,36,27/04/2019 15:00,Craven Cottage,Fulham,Cardiff,3 - 1
354,36,27/04/2019 15:00,St. Mary's Stadium,Southampton,Bournemouth,0 - 2
355,36,27/04/2019 15:00,Vicarage Road,Watford,Wolves,0 - 1
356,36,27/04/2019 17:30,Amex Stadium,Brighton,Newcastle,0 - 1
357,36,28/04/2019 14:05,Turf Moor,Burnley,Man City,1 - 2
358,36,28/04/2019 16:30,Old Trafford,Man Utd,Chelsea,2 - 1
359,36,29/04/2019 20:00,King Power Stadium,Leicester,Arsenal,1 - 2
360,37,04/05/2019 15:00,Emirates Stadium,Arsenal,Brighton,0 - 0
361,37,04/05/2019 15:00,Vitality Stadium,Bournemouth,Spurs,3 - 3
362,37,04/05/2019 15:00,Cardiff City Stadium,Cardiff,Crystal Palace,2 - 2
363,37,04/05/2019 15:00,Stamford Bridge,Chelsea,Watford,2 - 0
364,37,04/05/2019 15:00,Goodison Park,Everton,Burnley,3 - 0
365,37,04/05/2019 15:00,John Smith's Stadium,Huddersfield,Man Utd,0 - 5
366,37,04/05/2019 15:00,Etihad Stadium,Man City,Leicester,6 - 0
367,37,04/05/2019 15:00,St. James' Park,Newcastle,Liverpool,2 - 1
368,37,04/05/2019 15:00,London Stadium,West Ham,Southampton,5 - 1
369,37,04/05/2019 15:00,Molineux Stadium,Wolves,Fulham,0 - 1
370,38,12/05/2019 15:00,Amex Stadium,Brighton,Man City,0 - 4
371,38,12/05/2019 15:00,Turf Moor,Burnley,Arsenal,2 - 0
372,38,12/05/2019 15:00,Selhurst Park,Crystal Palace,Bournemouth,1 - 0
373,38,12/05/2019 15:00,Craven Cottage,Fulham,Newcastle,1 - 1
374,38,12/05/2019 15:00,King Power Stadium,Leicester,Chelsea,1 - 0
375,38,12/05/2019 15:00,Anfield,Liverpool,Wolves,1 - 1
376,38,12/05/2019 15:00,Old Trafford,Man Utd,Cardiff,5 - 0
377,38,12/05/2019 15:00,St. Mary's Stadium,Southampton,Huddersfield,1 - 0
378,38,12/05/2019 15:00,Tottenham Hotspur Stadium,Spurs,Everton,1 - 0
379,38,12/05/2019 15:00,Vicarage Road,Watford,West Ham,0 - 1
