,Round Number,Date,Location,Home Team,Away Team,Result
267,27,24/02/2019 12:00,Stamford Bridge,Chelsea,Brighton,2 - 2
301,31,16/03/2019 15:00,Amex Stadium,Brighton,Cardiff,3 - 2
303,31,16/03/2019 15:00,Vicarage Road,Watford,Southampton,1 - 1
305,31,16/03/2019 15:00,Molineux Stadium,Wolves,Arsenal,2 - 3
308,32,30/03/2019 12:30,Craven Cottage,Fulham,Man City,0 - 1
309,32,30/03/2019 15:00,Amex Stadium,Brighton,Southampton,1 - 1
310,32,30/03/2019 15:00,Turf Moor,Burnley,Wolves,1 - 0
311,32,30/03/2019 15:00,Selhurst Park,Crystal Palace,Huddersfield,0 - 1
312,32,30/03/2019 15:00,King Power Stadium,Leicester,Bournemouth,3 - 3
313,32,30/03/2019 15:00,Old Trafford,Man Utd,Watford,1 - 1
314,32,30/03/2019 17:30,London Stadium,West Ham,Everton,0 - 0
315,32,31/03/2019 14:05,Cardiff City Stadium,Cardiff,Chelsea,2 - 2
316,32,31/03/2019 16:30,Anfield,Liverpool,Spurs,1 - 2
317,32,01/04/2019 20:00,Emirates Stadium,Arsenal,Newcastle,0 - 1
318,32,02/04/2019 19:45,Molineux Stadium,Wolves,Man Utd,2 - 1
319,32,02/04/2019 23:00,Tottenham Hotspur Stadium,Spurs,Crystal Palace,3 - 1
320,33,05/04/2019 20:00,St. Mary's Stadium,Southampton,Liverpool,0 - 2
321,33,06/04/2019 12:30,Etihad Stadium,Man City,Cardiff,3 - 2
322,33,06/04/2019 15:00,Vitality Stadium,Bournemouth,Burnley,3 - 2
323,33,06/04/2019 15:00,John Smith's Stadium,Huddersfield,Leicester,2 - 3
324,33,06/04/2019 15:00,St. James' Park,Newcastle,Crystal Palace,1 - 0
325,33,06/04/2019 15:00,Vicarage Road,Watford,Fulham,2 - 0
326,33,07/04/2019 14:05,Goodison Park,Everton,Arsenal,3 - 1
327,33,07/04/2019 16:30,Tottenham Hotspur Stadium,Spurs,Brighton,1 - 2
328,33,08/04/2019 20:00,Stamford Bridge,Chelsea,West Ham,1 - 0
329,34,12/04/2019 20:00,King Power Stadium,Leicester,Newcastle,1 - 0
330,34,13/04/2019 12:30,Tottenham Hotspur Stadium,Spurs,Huddersfield,2 - 0
331,34,13/04/2019 15:00,Amex Stadium,Brighton,Bournemouth,1 - 1
332,34,13/04/2019 15:00,Turf Moor,Burnley,Cardiff,1 - 1
333,34,13/04/2019 15:00,Craven Cottage,Fulham,Everton,0 - 3
334,34,13/04/2019 15:00,St. Mary's Stadium,Southampton,Wolves,1 - 2
335,34,13/04/2019 17:30,Old Trafford,Man Utd,West Ham,1 - 0
336,34,14/04/2019 14:05,Selhurst Park,Crystal Palace,Man City,0 - 2
337,34,14/04/2019 16:30,Anfield,Liverpool,Chelsea,1 - 3
338,34,15/04/2019 20:00,Vicarage Road,Watford,Arsenal,5 - 1
339,35,20/04/2019 12:30,Etihad Stadium,Man City,Spurs,3 - 1
340,35,20/04/2019 15:00,Emirates Stadium,Arsenal,Crystal Palace,0 - 2
341,35,20/04/2019 15:00,Vitality Stadium,Bournemouth,Fulham,0 - 1
342,35,20/04/2019 15:00,John Smith's Stadium,Huddersfield,Watford,1 - 3
343,35,20/04/2019 15:00,London Stadium,West Ham,Leicester,0 - 0
344,35,20/04/2019 15:00,Molineux Stadium,Wolves,Brighton,1 - 0
345,35,20/04/2019 17:30,St. James' Park,Newcastle,Southampton,0 - 0
346,35,21/04/2019 13:30,Goodison Park,Everton,Man Utd,0 - 1
347,35,21/04/2019 16:00,Cardiff City Stadium,Cardiff,Liverpool,1 - 5
348,35,22/04/2019 20:00,Stamford Bridge,Chelsea,Burnley,1 - 1
349,35,24/04/2019 20:00,Old Trafford,Man Utd,Man City,0 - 1
350,36,26/04/2019 20:00,Anfield,Liverpool,Huddersfield,0 - 0
351,36,27/04/2019 12:30,Tottenham Hotspur Stadium,Spurs,West Ham,2 - 3
352,36,27/04/2019 15:00,Selhurst Park,Crystal Palace,Everton,0 - 2
353,36,27/04/2019 15:00,Craven Cottage,Fulham,Cardiff,2 - 0
354,36,27/04/2019 15:00,St. Mary's Stadium,Southampton,Bournemouth,0 - 3
355,36,27/04/2019 15:00,Vicarage Road,Watford,Wolves,1 - 2
356,36,27/04/2019 17:30,Amex Stadium,Brighton,Newcastle,1 - 1
357,36,28/04/2019 14:05,Turf Moor,Burnley,Man City,2 - 1
358,36,28/04/2019 16:30,Old Trafford,Man Utd,Chelsea,4 - 2
359,36,29/04/2019 20:00,King Power Stadium,Leicester,Arsenal,3 - 0
360,37,04/05/2019 15:00,Emirates Stadium,Arsenal,Brighton,3 - 1
361,37,04/05/2019 15:00,Vitality Stadium,Bournemouth,Spurs,4 - 1
362,37,04/05/2019 15:00,Cardiff City Stadium,Cardiff,Crystal Palace,0 - 0
363,37,04/05/2019 15:00,Stamford Bridge,Chelsea,Watford,0 - 4
