,Round Number,Date,Location,Home Team,Away Team,Result
267,27,24/02/2019 12:00,Stamford Bridge,Chelsea,Brighton,2 - 1
301,31,16/03/2019 15:00,Amex Stadium,Brighton,Cardiff,1 - 1
303,31,16/03/2019 15:00,Vicarage Road,Watford,Southampton,1 - 0
305,31,16/03/2019 15:00,Molineux Stadium,Wolves,Arsenal,2 - 4
308,32,30/03/2019 12:30,Craven Cottage,Fulham,Man City,0 - 2
309,32,30/03/2019 15:00,Amex Stadium,Brighton,Southampton,1 - 1
310,32,30/03/2019 15:00,Turf Moor,Burnley,Wolves,0 - 3
311,32,30/03/2019 15:00,Selhurst Park,Crystal Palace,Huddersfield,0 - 2
312,32,30/03/2019 15:00,King Power Stadium,Leicester,Bournemouth,0 - 0
313,32,30/03/2019 15:00,Old Trafford,Man Utd,Watford,1 - 1
314,32,30/03/2019 17:30,London Stadium,West Ham,Everton,2 - 0
315,32,31/03/2019 14:05,Cardiff City Stadium,Cardiff,Chelsea,1 - 3
316,32,31/03/2019 16:30,Anfield,Liverpool,Spurs,3 - 0
317,32,01/04/2019 20:00,Emirates Stadium,Arsenal,Newcastle,2 - 0
318,32,02/04/2019 19:45,Molineux Stadium,Wolves,Man Utd,6 - 5
319,32,02/04/2019 23:00,Tottenham Hotspur Stadium,Spurs,Crystal Palace,3 - 4
320,33,05/04/2019 20:00,St. Mary's Stadium,Southampton,Liverpool,0 - 0
321,33,06/04/2019 12:30,Etihad Stadium,Man City,Cardiff,0 - 1
322,33,06/04/2019 15:00,Vitality Stadium,Bournemouth,Burnley,4 - 0
323,33,06/04/2019 15:00,John Smith's Stadium,Huddersfield,Leicester,0 - 1
324,33,06/04/2019 15:00,St. James' Park,Newcastle,Crystal Palace,3 - 2
325,33,06/04/2019 15:00,Vicarage Road,Watford,Fulham,2 - 0
326,33,07/04/2019 14:05,Goodison Park,Everton,Arsenal,1 - 2
327,33,07/04/2019 16:30,Tottenham Hotspur Stadium,Spurs,Brighton,1 - 0
328,33,08/04/2019 20:00,Stamford Bridge,Chelsea,West Ham,1 - 1
329,34,12/04/2019 20:00,King Power Stadium,Leicester,Newcastle,1 - 1
330,34,13/04/2019 12:30,Tottenham Hotspur Stadium,Spurs,Huddersfield,4 - 1
331,34,13/04/2019 15:00,Amex Stadium,Brighton,Bournemouth,0 - 0
332,34,13/04/2019 15:00,Turf Moor,Burnley,Cardiff,1 - 0
333,34,13/04/2019 15:00,Craven Cottage,Fulham,Everton,1 - 2
334,34,13/04/2019 15:00,St. Mary's Stadium,Southampton,Wolves,0 - 2
335,34,13/04/2019 17:30,Old Trafford,Man Utd,West Ham,2 - 1
336,34,14/04/2019 14:05,Selhurst Park,Crystal Palace,Man City,0 - 2
337,34,14/04/2019 16:30,Anfield,Liverpool,Chelsea,2 - 0
338,34,15/04/2019 20:00,Vicarage Road,Watford,Arsenal,3 - 0
339,35,20/04/2019 12:30,Etihad Stadium,Man City,Spurs,4 - 1
340,35,20/04/2019 15:00,Emirates Stadium,Arsenal,Crystal Palace,4 - 2
341,35,20/04/2019 15:00,Vitality Stadium,Bournemouth,Fulham,2 - 0
342,35,20/04/2019 15:00,John Smith's Stadium,Huddersfield,Watford,1 - 0
343,35,20/04/2019 15:00,London Stadium,West Ham,Leicester,1 - 1
344,35,20/04/2019 15:00,Molineux Stadium,Wolves,Brighton,3 - 0
345,35,20/04/2019 17:30,St. James' Park,Newcastle,Southampton,0 - 1
346,35,21/04/2019 13:30,Goodison Park,Everton,Man Utd,0 - 1
347,35,21/04/2019 16:00,Cardiff City Stadium,Cardiff,Liverpool,0 - 3
348,35,22/04/2019 20:00,Stamford Bridge,Chelsea,Burnley,1 - 0
349,35,24/04/2019 20:00,Old Trafford,Man Utd,Man City,2 - 1
350,36,26/04/2019 20:00,Anfield,Liverpool,Huddersfield,1 - 0
351,36,27/04/2019 12:30,Tottenham Hotspur Stadium,Spurs,West Ham,1 - 0
352,36,27/04/2019 15:00,Selhurst Park,Crystal Palace,Everton,0 - 0
353,36,27/04/2019 15:00,Craven Cottage,Fulham,Cardiff,0 - 1
354,36,27/04/2019 15:00,St. Mary's Stadium,Southampton,Bournemouth,0 - 0
355,36,27/04/2019 15:00,Vicarage Road,Watford,Wolves,2 - 3
356,36,27/04/2019 17:30,Amex Stadium,Brighton,Newcastle,0 - 0
357,36,28/04/2019 14:05,Turf Moor,Burnley,Man City,1 - 0
358,36,28/04/2019 16:30,Old Trafford,Man Utd,Chelsea,1 - 0
359,36,29/04/2019 20:00,King Power Stadium,Leicester,Arsenal,4 - 3
360,37,04/05/2019 15:00,Emirates Stadium,Arsenal,Brighton,2 - 1
361,37,04/05/2019 15:00,Vitality Stadium,Bournemouth,Spurs,1 - 0
362,37,04/05/2019 15:00,Cardiff City Stadium,Cardiff,Crystal Palace,2 - 1
363,37,04/05/2019 15:00,Stamford Bridge,Chelsea,Watford,1 - 1
364,37,04/05/2019 15:00,Goodison Park,Everton,Burnley,1 - 4
365,37,04/05/2019 15:00,John Smith's Stadium,Huddersfield,Man Utd,0 - 1
