,Round Number,Date,Location,Home Team,Away Team,Result
267,27,24/02/2019 12:00,Stamford Bridge,Chelsea,Brighton,1 - 1
301,31,16/03/2019 15:00,Amex Stadium,Brighton,Cardiff,0 - 1
303,31,16/03/2019 15:00,Vicarage Road,Watford,Southampton,2 - 2
305,31,16/03/2019 15:00,Molineux Stadium,Wolves,Arsenal,1 - 1
308,32,30/03/2019 12:30,Craven Cottage,Fulham,Man City,0 - 0
309,32,30/03/2019 15:00,Amex Stadium,Brighton,Southampton,3 - 1
310,32,30/03/2019 15:00,Turf Moor,Burnley,Wolves,7 - 2
311,32,30/03/2019 15:00,Selhurst Park,Crystal Palace,Huddersfield,0 - 1
312,32,30/03/2019 15:00,King Power Stadium,Leicester,Bournemouth,3 - 0
313,32,30/03/2019 15:00,Old Trafford,Man Utd,Watford,1 - 0
314,32,30/03/2019 17:30,London Stadium,West Ham,Everton,1 - 2
315,32,31/03/2019 14:05,Cardiff City Stadium,Cardiff,Chelsea,3 - 4
316,32,31/03/2019 16:30,Anfield,Liverpool,Spurs,1 - 1
317,32,01/04/2019 20:00,Emirates Stadium,Arsenal,Newcastle,0 - 1
318,32,02/04/2019 19:45,Molineux Stadium,Wolves,Man Utd,1 - 2
319,32,02/04/2019 23:00,Tottenham Hotspur Stadium,Spurs,Crystal Palace,1 - 3
320,33,05/04/2019 20:00,St. Mary's Stadium,Southampton,Liverpool,1 - 2
321,33,06/04/2019 12:30,Etihad Stadium,Man City,Cardiff,2 - 1
322,33,06/04/2019 15:00,Vitality Stadium,Bournemouth,Burnley,5 - 3
323,33,06/04/2019 15:00,John Smith's Stadium,Huddersfield,Leicester,0 - 3
324,33,06/04/2019 15:00,St. James' Park,Newcastle,Crystal Palace,1 - 1
325,33,06/04/2019 15:00,Vicarage Road,Watford,Fulham,4 - 2
326,33,07/04/2019 14:05,Goodison Park,Everton,Arsenal,2 - 0
327,33,07/04/2019 16:30,Tottenham Hotspur Stadium,Spurs,Brighton,2 - 0
328,33,08/04/2019 20:00,Stamford Bridge,Chelsea,West Ham,1 - 1
329,34,12/04/2019 20:00,King Power Stadium,Leicester,Newcastle,1 - 0
330,34,13/04/2019 12:30,Tottenham Hotspur Stadium,Spurs,Huddersfield,1 - 1
331,34,13/04/2019 15:00,Amex Stadium,Brighton,Bournemouth,0 - 1
332,34,13/04/2019 15:00,Turf Moor,Burnley,Cardiff,1 - 0
333,34,13/04/2019 15:00,Craven Cottage,Fulham,Everton,2 - 3
334,34,13/04/2019 15:00,St. Mary's Stadium,Southampton,Wolves,0 - 3
335,34,13/04/2019 17:30,Old Trafford,Man Utd,West Ham,2 - 0
336,34,14/04/2019 14:05,Selhurst Park,Crystal Palace,Man City,1 - 2
337,34,14/04/2019 16:30,Anfield,Liverpool,Chelsea,4 - 3
338,34,15/04/2019 20:00,Vicarage Road,Watford,Arsenal,0 - 1
339,35,20/04/2019 12:30,Etihad Stadium,Man City,Spurs,3 - 0
340,35,20/04/2019 15:00,Emirates Stadium,Arsenal,Crystal Palace,5 - 1
341,35,20/04/2019 15:00,Vitality Stadium,Bournemouth,Fulham,2 - 1
342,35,20/04/2019 15:00,John Smith's Stadium,Huddersfield,Watford,0 - 3
343,35,20/04/2019 15:00,London Stadium,West Ham,Leicester,0 - 0
344,35,20/04/2019 15:00,Molineux Stadium,Wolves,Brighton,3 - 2
345,35,20/04/2019 17:30,St. James' Park,Newcastle,Southampton,3 - 0
346,35,21/04/2019 13:30,Goodison Park,Everton,Man Utd,2 - 3
