,Round Number,Date,Location,Home Team,Away Team,Result
267,27,24/02/2019 12:00,Stamford Bridge,Chelsea,Brighton,0 - 1
301,31,16/03/2019 15:00,Amex Stadium,Brighton,Cardiff,2 - 4
303,31,16/03/2019 15:00,Vicarage Road,Watford,Southampton,2 - 1
305,31,16/03/2019 15:00,Molineux Stadium,Wolves,Arsenal,2 - 1
308,32,30/03/2019 12:30,Craven Cottage,Fulham,Man City,0 - 1
309,32,30/03/2019 15:00,Amex Stadium,Brighton,Southampton,0 - 2
310,32,30/03/2019 15:00,Turf Moor,Burnley,Wolves,0 - 1
311,32,30/03/2019 15:00,Selhurst Park,Crystal Palace,Huddersfield,0 - 1
312,32,30/03/2019 15:00,King Power Stadium,Leicester,Bournemouth,2 - 1
313,32,30/03/2019 15:00,Old Trafford,Man Utd,Watford,3 - 1
314,32,30/03/2019 17:30,London Stadium,West Ham,Everton,2 - 1
315,32,31/03/2019 14:05,Cardiff City Stadium,Cardiff,Chelsea,2 - 1
316,32,31/03/2019 16:30,Anfield,Liverpool,Spurs,1 - 1
317,32,01/04/2019 20:00,Emirates Stadium,Arsenal,Newcastle,2 - 2
318,32,02/04/2019 19:45,Molineux Stadium,Wolves,Man Utd,2 - 1
319,32,02/04/2019 23:00,Tottenham Hotspur Stadium,Spurs,Crystal Palace,1 - 4
320,33,05/04/2019 20:00,St. Mary's Stadium,Southampton,Liverpool,2 - 2
321,33,06/04/2019 12:30,Etihad Stadium,Man City,Cardiff,2 - 0
322,33,06/04/2019 15:00,Vitality Stadium,Bournemouth,Burnley,2 - 1
323,33,06/04/2019 15:00,John Smith's Stadium,Huddersfield,Leicester,1 - 4
324,33,06/04/2019 15:00,St. James' Park,Newcastle,Crystal Palace,1 - 1
325,33,06/04/2019 15:00,Vicarage Road,Watford,Fulham,2 - 1
326,33,07/04/2019 14:05,Goodison Park,Everton,Arsenal,1 - 1
327,33,07/04/2019 16:30,Tottenham Hotspur Stadium,Spurs,Brighton,2 - 0
328,33,08/04/2019 20:00,Stamford Bridge,Chelsea,West Ham,3 - 1
329,34,12/04/2019 20:00,King Power Stadium,Leicester,Newcastle,2 - 2
330,34,13/04/2019 12:30,Tottenham Hotspur Stadium,Spurs,Huddersfield,1 - 1
331,34,13/04/2019 15:00,Amex Stadium,Brighton,Bournemouth,3 - 0
332,34,13/04/2019 15:00,Turf Moor,Burnley,Cardiff,4 - 4
333,34,13/04/2019 15:00,Craven Cottage,Fulham,Everton,1 - 0
